item_name,animal_categories,reasoning,vegan,vegetarian,mpbamodifiable
Acai Bowl,[],Acai bowl - vegan,True,True,False
April Showers Smoothie Bowl,[],Seasonal smoothie bowl - vegan,True,True,False
Carrot Cake Smoothie Bowl,[],Carrot cake flavored smoothie bowl - vegan,True,True,False
Dragon Smoothie Bowl,[],Dragon fruit smoothie bowl - vegan,True,True,False
Great Pumpkin Bowl,[],Pumpkin smoothie bowl - vegan,True,True,False
Green Goddess Smoothie Bowl,[],Green smoothie bowl - vegan,True,True,False
Matcha Love Bowl,[],Matcha smoothie bowl - vegan,True,True,False
Pb & J Bowl,[],PB&J smoothie bowl - vegan,True,True,False
Peppermint Mocha Bowl,[],Peppermint mocha bowl - may have dairy (no vegan sub on menu),False,True,False
Specialty Smoothie Bowl,[],Specialty smoothie bowl - vegan base,True,True,False
Buddha Bowl,[],Buddha bowl - vegan,True,True,False
Burrito Bowl,"['egg', 'savory_dairy']",Burrito bowl - has egg/cheese options,False,True,True
Butternut Curry,[],Butternut curry - vegan,True,True,False
Curry,[],Curry - vegan,True,True,False
Punjabi Butternut Chickpea Spinach Curry,[],Punjabi curry - vegan,True,True,False
Pineapple Coconut Rice Bowl,[],Pineapple coconut rice - vegan,True,True,False
Spinach Lental Rice Bow,[],Spinach lentil rice - vegan,True,True,False
Sushi Bowl,[],Sushi bowl - may have fish,False,False,False
Breakfast Bowl,['egg'],Breakfast bowl with scrambled egg,False,True,True
Apple Walnut Salad,[],Apple walnut salad - vegan,True,True,False
Autumn Salad,[],Autumn salad - vegan,True,True,False
Bean Corn Salad,[],Bean corn salad - vegan,True,True,False
Chicken Salad Over Greens,['unfried_chicken'],Chicken salad,False,False,False
Chickpea Salad Over Greens,[],Chickpea salad - vegan,True,True,False
Cranberry Chicken Salad,['unfried_chicken'],Cranberry chicken salad,False,False,False
Farmer's Market Salad,[],Farmers market salad - vegan,True,True,False
Kale! Ceasar Salad,['savory_dairy'],Kale caesar - has parmesan (no vegan parmesan),False,True,False
Mediterranean Falafel Salad,[],Mediterranean falafel - vegan,True,True,False
Pear Salad Butternut Soup,[],Pear salad with soup - vegan,True,True,False
Pomegranate Power Salad,[],Pomegranate salad - vegan,True,True,False
Roasted Beet Sweet Potato Salad,[],Beet sweet potato salad - vegan,True,True,False
Southwest Salad,[],Southwest salad - vegan base,True,True,False
Spinach Salad,[],Spinach salad - vegan,True,True,False
The Big Salad,[],Big salad - vegan base,True,True,False
Winter Protein Salad,[],Winter protein salad - vegan,True,True,False
Winter Salad,[],Winter salad - vegan,True,True,False
Wrap,"['egg', 'savory_dairy', 'unfried_chicken']",Wrap - various options,False,False,False
Burger,[],Veggie burger - vegan,True,True,False
Soup,[],Soup - vegan,True,True,False
Egg Bake,"['egg', 'savory_dairy']",Egg bake - vegetarian,False,True,False
Matcha Pancakes,"['egg', 'sweet_dairy']",Matcha pancakes - has egg,False,True,False
Oatmeal,[],Oatmeal - vegan,True,True,False
Pumpkin Waffles,"['egg', 'sweet_dairy']",Pumpkin waffles - has egg,False,True,False
Quiche,"['egg', 'savory_dairy']",Quiche - egg and cheese,False,True,False
Chia Pudding,[],Chia pudding - vegan,True,True,False
Toast,[],Toast - vegan base,True,True,False
Falafel,[],Falafel - vegan,True,True,False
Quesadilla,['savory_dairy'],Quesadilla with cheese,False,True,False
Tacos,[],Tacos - vegan option available,True,True,False
Cauliflower Flatbread Pizza,['savory_dairy'],Cauliflower pizza - has cheese (no vegan sub),False,True,False
Savory Mushroom Flatbread,['savory_dairy'],Mushroom flatbread - may have cheese (no vegan sub),False,True,False
Asian Peanut Noodles,[],Asian peanut noodles - vegan,True,True,False
Vegan Mac Cheese,[],Vegan mac and cheese,True,True,False
Fries,[],Fries - vegan,True,True,False
Chips,[],Chips - vegan,True,True,False
Coleslaw,[],Coleslaw - likely vegan,True,True,False
Applesauce,[],Applesauce - vegan,True,True,False
Microgreens,[],Microgreens - vegan,True,True,False
Gf Cookie,"['sweet_dairy', 'egg']",Gluten free cookie,False,True,False
Molasses Cookies,"['sweet_dairy', 'egg']",Molasses cookies,False,True,False
Vegan Cookie Bar,[],Vegan cookie bar,True,True,False
Cookie Bar Sandwich,"['sweet_dairy', 'egg']",Cookie bar sandwich - likely has dairy [FIXED: Baked goods typically have egg/dairy],False,True,False
Brownie,"['sweet_dairy', 'egg']",Brownie,False,True,False
Chocolate Chip Cookie Bar,"['sweet_dairy', 'egg']",Chocolate chip cookie bar,False,True,False
Energy Bars,[],Energy bars - vegan,True,True,False
